★ StatTrak™ Karambit | Case Hardened (Field-Tested)
★ Karambit | Autotronic (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested)
★ Karambit | Black Laminate (Field-Tested)
★ StatTrak™ M9 Bayonet | Black Laminate (Factory New)
★ StatTrak™ Butterfly Knife | Night (Minimal Wear)
★ StatTrak™ M9 Bayonet | Slaughter (Minimal Wear)
★ Kukri Knife | Crimson Web (Factory New)
★ Specialist Gloves | Fade (Minimal Wear)
★ Karambit | Stained (Factory New)
★ Butterfly Knife | Lore (Well-Worn)
★ Butterfly Knife | Freehand (Field-Tested)
★ Butterfly Knife | Stained (Minimal Wear)
★ Butterfly Knife | Bright Water (Minimal Wear)
★ Specialist Gloves | Emerald Web (Field-Tested)
★ Karambit | Case Hardened (Field-Tested)
★ Moto Gloves | Smoke Out (Factory New)
★ StatTrak™ Butterfly Knife | Bright Water (Minimal Wear)
★ Butterfly Knife | Black Laminate (Battle-Scarred)
★ Sport Gloves | Omega (Minimal Wear)
★ StatTrak™ Butterfly Knife | Freehand (Field-Tested)
★ Bayonet | Night (Factory New)
★ Karambit | Scorched (Factory New)
★ StatTrak™ Karambit | Blue Steel (Field-Tested)
★ StatTrak™ Butterfly Knife | Rust Coat (Well-Worn)
★ Butterfly Knife | Scorched (Factory New)
★ M9 Bayonet | Night (Factory New)
★ StatTrak™ Butterfly Knife | Black Laminate (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Black Laminate (Well-Worn)
★ StatTrak™ Karambit | Autotronic (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Ultraviolet (Field-Tested)
★ Karambit | Ultraviolet (Minimal Wear)
★ Butterfly Knife | Crimson Web (Well-Worn)
★ Butterfly Knife | Ultraviolet (Field-Tested)
★ StatTrak™ Butterfly Knife | Stained (Minimal Wear)
★ StatTrak™ Butterfly Knife | Crimson Web (Well-Worn)
★ Butterfly Knife | Forest DDPAT (Factory New)
★ M9 Bayonet | Blue Steel (Factory New)
★ Karambit | Damascus Steel (Factory New)
★ Driver Gloves | Snow Leopard (Minimal Wear)
★ StatTrak™ Karambit | Black Laminate (Minimal Wear)
★ Driver Gloves | Lunar Weave (Factory New)
★ Sport Gloves | Big Game (Factory New)
★ Butterfly Knife | Case Hardened (Well-Worn)
★ StatTrak™ Butterfly Knife | Freehand (Battle-Scarred)
★ Karambit | Blue Steel (Well-Worn)
★ StatTrak™ Butterfly Knife | Case Hardened (Well-Worn)
★ Karambit | Crimson Web (Field-Tested)
★ Butterfly Knife | Bright Water (Field-Tested)
★ StatTrak™ Karambit | Stained (Factory New)
★ Hand Wraps | CAUTION! (Factory New)
★ M9 Bayonet | Slaughter (Field-Tested)
★ Butterfly Knife | Stained (Field-Tested)
★ Karambit | Black Laminate (Well-Worn)
★ StatTrak™ Classic Knife | Blue Steel (Factory New)
★ Butterfly Knife | Boreal Forest (Factory New)
★ StatTrak™ Karambit | Black Laminate (Battle-Scarred)
★ Karambit | Damascus Steel (Minimal Wear)
★ Karambit | Lore (Field-Tested)
★ StatTrak™ Talon Knife | Blue Steel (Factory New)
★ Karambit | Blue Steel (Battle-Scarred)
★ StatTrak™ Karambit | Blue Steel (Well-Worn)
★ StatTrak™ Karambit | Blue Steel (Battle-Scarred)
★ StatTrak™ Karambit | Black Laminate (Field-Tested)
★ StatTrak™ Karambit | Lore (Field-Tested)
★ StatTrak™ M9 Bayonet | Blue Steel (Factory New)
★ StatTrak™ Karambit | Ultraviolet (Minimal Wear)
