AK-47 | Red Laminate (Factory New)
AK-47 | Red Laminate (Minimal Wear)
AK-47 | Red Laminate (Field-Tested)
AK-47 | Red Laminate (Well-Worn)
AK-47 | Red Laminate (Battle-Scarred)
StatTrak™ AK-47 | Red Laminate (Factory New)
StatTrak™ AK-47 | Red Laminate (Minimal Wear)
StatTrak™ AK-47 | Red Laminate (Field-Tested)
StatTrak™ AK-47 | Red Laminate (Well-Worn)
StatTrak™ AK-47 | Red Laminate (Battle-Scarred)
AK-47 | Case Hardened (Factory New)
AK-47 | Case Hardened (Minimal Wear)
AK-47 | Case Hardened (Field-Tested)
AK-47 | Case Hardened (Well-Worn)
AK-47 | Case Hardened (Battle-Scarred)
StatTrak™ AK-47 | Case Hardened (Factory New)
StatTrak™ AK-47 | Case Hardened (Minimal Wear)
StatTrak™ AK-47 | Case Hardened (Field-Tested)
StatTrak™ AK-47 | Case Hardened (Well-Worn)
StatTrak™ AK-47 | Case Hardened (Battle-Scarred)
AK-47 | Safari Mesh (Factory New)
AK-47 | Safari Mesh (Minimal Wear)
AK-47 | Safari Mesh (Field-Tested)
AK-47 | Safari Mesh (Well-Worn)
AK-47 | Safari Mesh (Battle-Scarred)
Souvenir AK-47 | Safari Mesh (Factory New)
Souvenir AK-47 | Safari Mesh (Minimal Wear)
Souvenir AK-47 | Safari Mesh (Field-Tested)
Souvenir AK-47 | Safari Mesh (Well-Worn)
Souvenir AK-47 | Safari Mesh (Battle-Scarred)
AK-47 | The Outsiders (Factory New)
AK-47 | The Outsiders (Minimal Wear)
AK-47 | The Outsiders (Field-Tested)
AK-47 | The Outsiders (Well-Worn)
AK-47 | The Outsiders (Battle-Scarred)
StatTrak™ AK-47 | The Outsiders (Factory New)
StatTrak™ AK-47 | The Outsiders (Minimal Wear)
StatTrak™ AK-47 | The Outsiders (Field-Tested)
StatTrak™ AK-47 | The Outsiders (Well-Worn)
StatTrak™ AK-47 | The Outsiders (Battle-Scarred)
AK-47 | Jungle Spray (Factory New)
AK-47 | Jungle Spray (Minimal Wear)
AK-47 | Jungle Spray (Field-Tested)
AK-47 | Jungle Spray (Well-Worn)
AK-47 | Jungle Spray (Battle-Scarred)
AK-47 | B the Monster (Factory New)
AK-47 | B the Monster (Minimal Wear)
AK-47 | B the Monster (Field-Tested)
