Item_Name, Max_Buy_Order, Market_Value, EV, N_Sales
★ Bayonet | Crimson Web (Minimal Wear), 41400, 45862, 3314.449999999997, 9
★ StatTrak™ Bayonet | Fade (Factory New), 65500, 70623, 3356.425000000003, 4
★ Bayonet | Case Hardened (Battle-Scarred), 26170, 31128, 4178.799999999999, 4
★ StatTrak™ Bayonet | Slaughter (Factory New), 49132, 64322, 13580.949999999997, 4
★ Bayonet | Ultraviolet (Minimal Wear), 27900, 32058, 3355.5499999999993, 5
★ Bayonet | Tiger Tooth (Minimal Wear), 44016, 48275, 3051.125, 11
★ Bayonet | Damascus Steel (Factory New), 28102, 32502, 3586.4500000000007, 4
★ Bayonet | Marble Fade (Minimal Wear), 54013, 60258, 4737.549999999996, 10
★ StatTrak™ Bayonet | Marble Fade (Factory New), 54202, 60014, 4310.6500000000015, 2
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Doppler (Minimal Wear), 56251, 400000, 333748.0, 8
★ Bayonet | Lore (Minimal Wear), 51086, 55583, 3106.4249999999956, 5
★ Bayonet | Lore (Battle-Scarred), 29704, 33706, 3158.3499999999985, 12
★ StatTrak™ Bayonet | Gamma Doppler (Factory New), 75101, 354458, 270494.55, 7
★ StatTrak™ Bayonet | Gamma Doppler (Factory New), 75101, 354458, 270494.55, 7
★ StatTrak™ Bayonet | Gamma Doppler (Factory New), 75101, 354458, 270494.55, 7
★ StatTrak™ Bayonet | Gamma Doppler (Factory New), 75101, 354458, 270494.55, 7
★ StatTrak™ Bayonet | Gamma Doppler (Factory New), 75101, 354458, 270494.55, 7
★ StatTrak™ Bayonet | Freehand (Factory New), 27100, 34129, 6174.7750000000015, 4
★ StatTrak™ Bayonet | Freehand (Field-Tested), 23000, 27044, 3366.899999999998, 7
★ StatTrak™ Classic Knife | Fade (Factory New), 50000, 55477, 4089.074999999997, 2
★ Flip Knife | Slaughter (Minimal Wear), 35001, 39108, 3128.2999999999956, 1
★ Flip Knife | Slaughter (Field-Tested), 34193, 38802, 3637.949999999997, 10
★ StatTrak™ Flip Knife | Ultraviolet (Field-Tested), 14500, 22800, 7729.0, 2
★ Flip Knife | Urban Masked (Field-Tested), 13010, 16498, 3074.5499999999993, 3
★ Flip Knife | Scorched (Minimal Wear), 13650, 17631, 3539.2249999999985, 2
★ Flip Knife | Scorched (Well-Worn), 11790, 16982, 4766.450000000001, 9
★ StatTrak™ Flip Knife | Marble Fade (Factory New), 39000, 44353, 4243.174999999996, 3
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Doppler (Factory New), 47026, 57397, 8935.074999999997, 5
★ Flip Knife | Doppler (Minimal Wear), 47064, 235500, 182547.5, 13
★ StatTrak™ Flip Knife | Doppler (Factory New), 44000, 194000, 145149.0, 4
★ Flip Knife | Lore (Factory New), 39526, 44410, 3772.75, 6
★ Flip Knife | Gamma Doppler (Factory New), 62010, 78374, 14403.649999999994, 6
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New), 60002, 68514, 6798.149999999994, 4
★ Flip Knife | Gamma Doppler (Factory New), 62010, 78374, 14403.649999999994, 6
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New), 60002, 68514, 6798.149999999994, 4
★ Flip Knife | Gamma Doppler (Factory New), 62010, 78374, 14403.649999999994, 6
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New), 60002, 68514, 6798.149999999994, 4
★ Flip Knife | Gamma Doppler (Factory New), 62010, 78374, 14403.649999999994, 6
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New), 60002, 68514, 6798.149999999994, 4
★ Flip Knife | Gamma Doppler (Factory New), 62010, 78374, 14403.649999999994, 6
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New), 60002, 68514, 6798.149999999994, 4
★ StatTrak™ Gut Knife | Tiger Tooth (Factory New), 16269, 19793, 3028.1749999999993, 18
★ StatTrak™ Gut Knife | Damascus Steel (Factory New), 9038, 13878, 4492.049999999999, 2
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ Gut Knife | Doppler (Factory New), 17584, 61691, 42563.725, 5
★ Gut Knife | Doppler (Minimal Wear), 17443, 80000, 60556.0, 13
★ StatTrak™ Gut Knife | Doppler (Factory New), 17587, 66500, 47249.5, 5
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New), 23000, 28809, 5087.774999999998, 7
