Item_Name, Max_Buy_Order, Market_Value, EV, Eq_Value, N_Sales, Volume_7_Days, Heuristic
★ Bayonet | Forest DDPAT (Field-Tested), 17301, 18951, 1175.2249999999985, 17908.695, 12, 5, 0.40212978485898687
★ Bayonet | Crimson Web (Field-Tested), 26637, 28549, 1197.2749999999978, 26978.804999999997, 3, 15, 0.3046008734599237
★ Bayonet | Night (Field-Tested), 19900, 21573, 1132.6749999999993, 20386.485, 9, 20, 0.4223801044414241
★ Bayonet | Blue Steel (Minimal Wear), 32509, 34748, 1369.2999999999956, 32836.85999999999, 12, 7, 0.36615679040979104
★ Bayonet | Blue Steel (Field-Tested), 30000, 32405, 1593.875, 30622.725, 8, 13, 0.37543506095154866
★ Bayonet | Stained (Minimal Wear), 23733, 25719, 1342.0249999999978, 24304.454999999998, 3, 7, 0.28371915038921813
★ Bayonet | Stained (Battle-Scarred), 19501, 21708, 1663.2999999999993, 20514.059999999998, 6, 6, 0.3764406719312227
★ Bayonet | Case Hardened (Field-Tested), 31195, 33604, 1567.8999999999978, 31755.78, 2, 10, 0.27870640549435266
★ Bayonet | Case Hardened (Battle-Scarred), 26866, 30634, 3001.149999999998, 28949.129999999997, 4, 3, 0.37877768551277585
★ Bayonet | Slaughter (Minimal Wear), 43161, 45982, 1670.449999999997, 43452.99, 4, 13, 0.29567840371325144
★ Bayonet | Slaughter (Field-Tested), 37227, 39746, 1524.3499999999985, 37559.97, 12, 5, 0.34502779294852537
★ Bayonet | Urban Masked (Field-Tested), 17300, 19292, 1508.7000000000007, 18230.940000000002, 3, 14, 0.3930466805879499
★ Bayonet | Damascus Steel (Factory New), 29000, 31451, 1663.7249999999985, 29721.195, 5, 4, 0.27985575153401065
★ Bayonet | Black Laminate (Battle-Scarred), 24330, 25793, 817.1749999999993, 24374.385, 5, 10, 0.2822214207552862
★ Bayonet | Autotronic (Minimal Wear), 49500, 52610, 1793.75, 49716.45, 8, 6, 0.29556608604530454
★ Bayonet | Autotronic (Battle-Scarred), 34470, 36502, 1118.449999999997, 34494.39, 8, 9, 0.31125024011226554
★ Bayonet | Freehand (Minimal Wear), 27834, 29542, 968.4500000000007, 27917.190000000002, 10, 13, 0.3628345132097722
★ Bayonet | Freehand (Field-Tested), 25003, 26509, 842.2749999999978, 25051.004999999997, 6, 17, 0.3270018408702264
★ Classic Knife | Crimson Web (Field-Tested), 23805, 25492, 1048.7000000000007, 24089.940000000002, 4, 16, 0.31921405028346855
★ Classic Knife | Blue Steel (Field-Tested), 17610, 18869, 786.2749999999978, 17831.204999999998, 2, 9, 0.26086934122814487
★ Classic Knife | Stained (Minimal Wear), 16500, 17691, 747.7249999999985, 16717.995, 13, 7, 0.38520533977584015
★ Classic Knife | Stained (Field-Tested), 14663, 16006, 941.8500000000004, 15125.67, 13, 8, 0.4329478605238074
★ Classic Knife | Case Hardened (Minimal Wear), 22300, 24899, 1975.5249999999978, 23529.554999999997, 3, 6, 0.3466264943636141
★ Classic Knife | Case Hardened (Field-Tested), 20669, 22241, 1014.9749999999985, 21017.745, 4, 14, 0.32150174117547775
★ Classic Knife | Case Hardened (Battle-Scarred), 16427, 18166, 1283.8499999999985, 17166.87, 13, 7, 0.4562495658386425
★ Classic Knife | Slaughter (Factory New), 31701, 35193, 2611.1749999999956, 33257.384999999995, 2, 10, 0.34912823052344744
★ Classic Knife | Slaughter (Field-Tested), 27400, 30662, 2494.4500000000007, 28975.59, 3, 4, 0.33047001622933414
★ Classic Knife | Night Stripe (Field-Tested), 14602, 15761, 763.9750000000004, 14894.145, 15, 11, 0.45118951634911947
★ Flip Knife | Crimson Web (Field-Tested), 26128, 27709, 887.2749999999978, 26185.004999999997, 8, 12, 0.33134315241494794
★ Flip Knife | Night (Field-Tested), 17211, 18366, 694.8499999999985, 17355.87, 13, 11, 0.40151489762570575
★ Flip Knife | Blue Steel (Battle-Scarred), 19920, 21826, 1359.3499999999985, 20625.57, 6, 5, 0.3278181458860407
★ Flip Knife | Stained (Minimal Wear), 17801, 19257, 973.5750000000007, 18197.865, 10, 5, 0.3485403295095635
★ Flip Knife | Case Hardened (Battle-Scarred), 17800, 20201, 1894.9749999999985, 19089.945, 1, 3, 0.3281966242679317
★ Flip Knife | Slaughter (Factory New), 40920, 44185, 2159.375, 41754.825, 4, 13, 0.3246798766053112
★ Flip Knife | Slaughter (Minimal Wear), 36286, 38774, 1517.6500000000015, 36641.43, 7, 4, 0.27243552011813366
★ Flip Knife | Ultraviolet (Field-Tested), 18840, 20139, 794.5249999999978, 19031.355, 11, 11, 0.38017570148392865
★ Flip Knife | Damascus Steel (Factory New), 21504, 23079, 997.0249999999978, 21809.655, 11, 5, 0.3436254583205877
★ Flip Knife | Damascus Steel (Minimal Wear), 19856, 21432, 1039.2000000000007, 20253.24, 14, 5, 0.3935706279158421
★ Flip Knife | Rust Coat (Battle-Scarred), 16784, 17982, 747.4500000000007, 16992.99, 17, 17, 0.4864221974424632
★ Flip Knife | Lore (Factory New), 39002, 43300, 3214.5, 40918.5, 4, 3, 0.3083433535724812
★ Flip Knife | Lore (Minimal Wear), 32900, 35976, 2175.5999999999985, 33997.32, 5, 9, 0.3439511364941561
★ Flip Knife | Lore (Field-Tested), 26100, 27747, 952.3250000000007, 26220.915, 8, 12, 0.336394307161755
