Item_Name, Max_Buy_Order, Market_Value, EV, Eq_Value, N_Sales, Volume_7_Days, Heuristic
Souvenir MP9 | Hot Rod (Factory New), 15898, 17241, 997.1800000000003, 16034.130000000001, 7, 20, 0.5904270977481445
StatTrak™ AK-47 | Neon Rider (Minimal Wear), 16000, 17176, 831.4799999999996, 15973.68, 13, 20, 0.5697562499999997
USP-S | Kill Confirmed (Factory New), 15174, 16275, 774.5, 15135.75, 9, 20, 0.5228094108343219
MP9 | Hot Rod (Factory New), 14601, 15804, 885.9200000000001, 14697.72, 9, 20, 0.5950647215944114
M4A1-S | Golden Coil (Factory New), 13811, 14984, 872.3199999999997, 13935.119999999999, 8, 20, 0.6037093621026716
StatTrak™ M4A1-S | Mecha Industries (Factory New), 13500, 15286, 1479.2799999999988, 14215.98, 6, 8, 0.8300000000000001
StatTrak™ AWP | Wildfire (Minimal Wear), 13215, 14758, 1246.8400000000001, 13724.94, 9, 11, 0.825127695800227
AK-47 | Fuel Injector (Well-Worn), 13512, 14641, 835.1800000000003, 13616.130000000001, 9, 20, 0.6035768206039078
M4A4 | Eye of Horus (Battle-Scarred), 12531, 14217, 1400.6599999999999, 13221.81, 8, 11, 0.8574999999999999
StatTrak™ USP-S | Kill Confirmed (Field-Tested), 12900, 13993, 812.1399999999994, 13013.49, 9, 20, 0.6121744186046507
Souvenir AK-47 | Panthera onca (Field-Tested), 12300, 13997, 1416.0599999999995, 13017.21, 6, 13, 0.8425
StatTrak™ AWP | Redline (Minimal Wear), 12025, 12945, 660.1000000000004, 12038.85, 10, 11, 0.5392047817047819
M4A1-S | Hyper Beast (Factory New), 11900, 12819, 661.619999999999, 11921.669999999998, 6, 20, 0.5269873949579825
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear), 12302, 13516, 942.6800000000003, 12569.880000000001, 12, 9, 0.7172114290359293
StatTrak™ AK-47 | The Empress (Minimal Wear), 11405, 12311, 658.7800000000007, 11449.230000000001, 12, 17, 0.5957178868917146
StatTrak™ USP-S | Orion (Factory New), 11100, 12395, 1046.1000000000004, 11527.35, 8, 20, 0.8368243243243246
AWP | BOOM (Field-Tested), 11411, 12512, 849.7600000000002, 11636.16, 10, 20, 0.7085137148365613
AK-47 | Jaguar (Minimal Wear), 10800, 12264, 1217.7199999999993, 11405.519999999999, 8, 20, 0.88
AK-47 | Aquamarine Revenge (Factory New), 11382, 12257, 628.8600000000006, 11399.01, 8, 20, 0.5443779652082239
Desert Eagle | Golden Koi (Factory New), 10758, 12085, 1084.2999999999993, 11239.05, 4, 20, 0.8400000000000001
StatTrak™ AK-47 | Asiimov (Minimal Wear), 11253, 12063, 567.7399999999998, 11218.59, 9, 20, 0.5183924286856837
Desert Eagle | Crimson Web (Factory New), 10510, 11959, 1208.8199999999997, 11121.869999999999, 12, 15, 0.9075
StatTrak™ M4A1-S | Golden Coil (Field-Tested), 9086, 11179, 1868.42, 10396.47, 3, 11, 0.8075
StatTrak™ AK-47 | Nightwish (Factory New), 10282, 11293, 784.1399999999994, 10502.49, 13, 10, 0.7269752966348956
StatTrak™ M4A1-S | Dark Water (Field-Tested), 10115, 11054, 716.9200000000001, 10280.22, 12, 7, 0.6690768660405338
AK-47 | Red Laminate (Minimal Wear), 9250, 10954, 1483.92, 10187.22, 4, 15, 0.8275
StatTrak™ AK-47 | Head Shot (Factory New), 9500, 10927, 1207.4599999999991, 10162.109999999999, 8, 10, 0.855
