Item_Name, Max_Buy_Order, Market_Value, EV, Eq_Value, N_Sales, Volume_7_Days, Heuristic
★ Talon Knife | Scorched (Field-Tested), 27841, 29897, 1307.5750000000007, 28252.665, 11, 13, 0.4947435436945513
★ Skeleton Knife | Crimson Web (Field-Tested), 57343, 61253, 2377.6749999999956, 57884.085, 6, 13, 0.4034806340791372
★ Skeleton Knife | Blue Steel (Field-Tested), 41100, 43813, 1616.6749999999956, 41403.284999999996, 8, 11, 0.4025136861313861
★ Skeleton Knife | Case Hardened (Minimal Wear), 50300, 54632, 2965.199999999997, 51627.24, 5, 14, 0.5271272365805165
★ Skeleton Knife | Urban Masked (Field-Tested), 22402, 23906, 905.3499999999985, 22591.17, 8, 20, 0.43310351754307597
★ Skeleton Knife | Scorched (Field-Tested), 22000, 23541, 951.4749999999985, 22246.245, 11, 20, 0.48436647727272675
★ Skeleton Knife | Night Stripe (Field-Tested), 27252, 29177, 1194.5750000000007, 27572.265, 6, 16, 0.42875798106561
★ Kukri Knife | Crimson Web (Field-Tested), 25655, 27222, 885.4500000000007, 25724.79, 7, 20, 0.3788530500877024
★ Kukri Knife | Blue Steel (Minimal Wear), 23501, 25848, 1699.7999999999993, 24426.36, 7, 10, 0.6374662780307219
★ Kukri Knife | Blue Steel (Field-Tested), 22100, 23654, 961.6499999999978, 22353.03, 12, 15, 0.4838518099547504
★ Kukri Knife | Case Hardened (Field-Tested), 23377, 25286, 1275.8499999999985, 23895.269999999997, 5, 16, 0.49932861359455827
★ Sport Gloves | Arid (Field-Tested), 55001, 58784, 2312.4000000000015, 55550.880000000005, 6, 20, 0.42532153960837094
★ Sport Gloves | Arid (Battle-Scarred), 27881, 30160, 1524.0, 28501.2, 7, 19, 0.5274566012696819
★ Sport Gloves | Big Game (Minimal Wear), 32523, 35292, 1885.699999999997, 33350.939999999995, 5, 12, 0.5148537957752969
★ Sport Gloves | Scarlet Shamagh (Battle-Scarred), 21000, 22417, 855.5750000000007, 21184.065000000002, 7, 20, 0.4255625000000003
★ Driver Gloves | Lunar Weave (Minimal Wear), 29225, 31866, 1843.3499999999985, 30113.37, 5, 13, 0.5555581693755343
★ Driver Gloves | Imperial Plaid (Battle-Scarred), 21753, 23262, 926.4500000000007, 21982.59, 10, 20, 0.4694214591090886
★ Hand Wraps | Slaughter (Field-Tested), 28100, 30009, 1157.7749999999978, 28358.504999999997, 7, 16, 0.41901467971530193
★ Hand Wraps | Cobalt Skulls (Battle-Scarred), 27889, 30176, 1531.5999999999985, 28516.32, 9, 20, 0.551882821183979
★ Hand Wraps | Overprint (Minimal Wear), 29800, 32042, 1439.9500000000007, 30279.690000000002, 7, 16, 0.47240352348993303
★ Hand Wraps | CAUTION! (Minimal Wear), 33900, 36038, 1236.0499999999956, 34055.909999999996, 10, 11, 0.40096238938052997
