Item_Name, Max_Buy_Order, Market_Value, EV, Eq_Value, N_Sales, Volume_7_Days, Heuristic
AK-47 | B the Monster (Battle-Scarred), 14073, 15321, 940.5799999999999, 14248.53, 7, 14, 0.6062683862715839
StatTrak™ AK-47 | Bloodsport (Field-Tested), 20137, 21613, 1042.739999999998, 20100.089999999997, 3, 7, 0.43586718478422737
M4A1-S | Fade (Minimal Wear), 41620, 44704, 2188.9199999999983, 41574.72, 6, 8, 0.47444738106679446
StatTrak™ M4A1-S | Printstream (Minimal Wear), 43501, 47110, 2665.7999999999956, 43812.299999999996, 3, 8, 0.5096101239051969
StatTrak™ M4A1-S | Hyper Beast (Field-Tested), 4893, 5285, 285.3000000000002, 4915.05, 10, 7, 0.554808399754752
AK-47 | Frontside Misty (Factory New), 6304, 6758, 317.84000000000015, 6284.9400000000005, 8, 10, 0.4831408629441626
StatTrak™ M4A1-S | Decimator (Factory New), 7167, 7875, 549.5, 7323.75, 10, 8, 0.6950313938886563
StatTrak™ AWP | Neo-Noir (Factory New), 7590, 8197, 442.0599999999995, 7623.209999999999, 9, 9, 0.5493181818181814
AK-47 | The Outsiders (Factory New), 9718, 10499, 570.0200000000004, 9764.07, 10, 17, 0.5824207655896279
StatTrak™ AWP | Chrome Cannon (Minimal Wear), 10875, 11721, 610.5799999999999, 10900.53, 5, 9, 0.4935896551724138
M4A1-S | Master Piece (Field-Tested), 11875, 12806, 673.8799999999992, 11909.58, 7, 14, 0.5306084210526312
