Item_Name, Max_Buy_Order, Market_Value, EV, N_Sales, Volume_7_Days
★ Karambit | Crimson Web (Minimal Wear), 120268, 126430, 3000.25, 9, 5
★ Karambit | Crimson Web (Field-Tested), 85001, 91186, 3904.3499999999913, 6, 10
★ Karambit | Case Hardened (Minimal Wear), 100002, 108118, 5412.050000000003, 7, 6
★ Karambit | Slaughter (Factory New), 130492, 139386, 5408.350000000006, 1, 16
★ Karambit | Slaughter (Minimal Wear), 114501, 122861, 5287.474999999991, 5, 17
★ Karambit | Ultraviolet (Field-Tested), 71501, 76811, 3388.7249999999913, 6, 10
★ Karambit | Damascus Steel (Factory New), 88101, 93880, 3431.0, 7, 8
★ Karambit | Lore (Factory New), 177701, 190442, 7978.9499999999825, 10, 8
★ Karambit | Black Laminate (Battle-Scarred), 83101, 88377, 3065.574999999997, 7, 7
★ Karambit | Freehand (Factory New), 80001, 85509, 3369.274999999994, 8, 9
★ M9 Bayonet | Fade (Factory New), 172100, 181637, 4995.0749999999825, 7, 10
★ M9 Bayonet | Case Hardened (Minimal Wear), 74500, 82230, 5673.25, 3, 8
★ M9 Bayonet | Slaughter (Minimal Wear), 96500, 104505, 5391.375, 4, 7
★ M9 Bayonet | Slaughter (Field-Tested), 82501, 88164, 3457.899999999994, 8, 6
★ M9 Bayonet | Ultraviolet (Minimal Wear), 68034, 74544, 4645.399999999994, 5, 5
★ M9 Bayonet | Damascus Steel (Factory New), 70721, 76372, 3740.699999999997, 3, 9
★ M9 Bayonet | Autotronic (Minimal Wear), 117227, 125686, 5315.849999999991, 5, 3
★ Butterfly Knife | Forest DDPAT (Field-Tested), 67070, 72785, 3894.375, 7, 11
★ Butterfly Knife | Crimson Web (Battle-Scarred), 80000, 85441, 3303.9749999999913, 4, 4
★ Butterfly Knife | Night (Minimal Wear), 95002, 101097, 3566.574999999997, 5, 9
★ Butterfly Knife | Blue Steel (Field-Tested), 109000, 116183, 4277.425000000003, 2, 12
★ Butterfly Knife | Blue Steel (Battle-Scarred), 97503, 105278, 5142.050000000003, 2, 9
★ Butterfly Knife | Stained (Battle-Scarred), 77516, 83077, 3483.074999999997, 10, 8
★ Butterfly Knife | Case Hardened (Minimal Wear), 109000, 116089, 4185.774999999994, 4, 16
★ Butterfly Knife | Case Hardened (Battle-Scarred), 82600, 88199, 3393.024999999994, 3, 17
★ Butterfly Knife | Slaughter (Factory New), 195669, 203971, 3201.725000000006, 4, 20
★ Butterfly Knife | Slaughter (Minimal Wear), 168982, 176977, 3569.5749999999825, 2, 20
★ Butterfly Knife | Slaughter (Field-Tested), 150423, 158686, 4294.850000000006, 8, 11
★ Butterfly Knife | Urban Masked (Battle-Scarred), 65000, 69759, 3014.024999999994, 7, 5
★ Butterfly Knife | Scorched (Minimal Wear), 76000, 81820, 3773.5, 7, 6
★ Butterfly Knife | Damascus Steel (Factory New), 114300, 121304, 3970.399999999994, 2, 8
★ Butterfly Knife | Damascus Steel (Minimal Wear), 106000, 113755, 4910.125, 5, 10
★ Butterfly Knife | Damascus Steel (Field-Tested), 100501, 107107, 3927.324999999997, 4, 18
★ Butterfly Knife | Bright Water (Factory New), 99100, 105108, 3379.300000000003, 7, 6
★ Butterfly Knife | Bright Water (Minimal Wear), 92700, 98464, 3301.399999999994, 11, 9
★ Butterfly Knife | Freehand (Field-Tested), 92101, 98627, 4059.324999999997, 6, 20
★ Butterfly Knife | Lore (Minimal Wear), 180000, 189157, 4427.0749999999825, 7, 9
★ Butterfly Knife | Lore (Field-Tested), 117000, 123339, 3254.524999999994, 5, 16
★ Butterfly Knife | Lore (Battle-Scarred), 81300, 88884, 5360.899999999994, 1, 11
★ Butterfly Knife | Black Laminate (Factory New), 122500, 131705, 5911.375, 8, 3
★ Butterfly Knife | Black Laminate (Battle-Scarred), 88822, 97459, 6199.524999999994, 1, 12
★ Butterfly Knife | Autotronic (Minimal Wear), 163000, 171771, 4475.725000000006, 10, 4
★ Butterfly Knife | Autotronic (Field-Tested), 132546, 140466, 4407.350000000006, 6, 20
★ Talon Knife | Crimson Web (Minimal Wear), 60600, 65681, 3437.9749999999985, 6, 6
★ Talon Knife | Slaughter (Minimal Wear), 64870, 69779, 3163.524999999994, 2, 18
★ Talon Knife | Ultraviolet (Minimal Wear), 43334, 47688, 3160.7999999999956, 3, 11
★ Talon Knife | Urban Masked (Minimal Wear), 29501, 33645, 3301.875, 4, 5
★ Talon Knife | Night Stripe (Minimal Wear), 31820, 35966, 3245.8499999999985, 1, 4
★ Skeleton Knife | Crimson Web (Minimal Wear), 76000, 81038, 3011.050000000003, 4, 5
★ Skeleton Knife | Slaughter (Field-Tested), 61802, 66914, 3438.1500000000015, 3, 10
