Item_Name, Max_Buy_Order, Market_Value, EV, Eq_Value, N_Sales, Volume_7_Days
★ Talon Knife | Night Stripe (Minimal Wear), 31820, 37441, 4683.9749999999985, 33504.975, 1, 5
★ M9 Bayonet | Case Hardened (Minimal Wear), 74900, 82105, 5151.375, 77052.375, 3, 9
★ Butterfly Knife | Black Laminate (Battle-Scarred), 89603, 96791, 4767.224999999991, 91371.22499999999, 1, 9
★ Butterfly Knife | Lore (Battle-Scarred), 81500, 87007, 3330.824999999997, 81831.825, 1, 9
★ Butterfly Knife | Forest DDPAT (Field-Tested), 67496, 72589, 3277.274999999994, 67774.275, 5, 14
★ Talon Knife | Crimson Web (Minimal Wear), 60800, 65911, 3462.2249999999985, 61263.225, 7, 7
★ M9 Bayonet | Slaughter (Minimal Wear), 96510, 103633, 4531.175000000003, 98042.175, 3, 8
★ M9 Bayonet | Damascus Steel (Factory New), 70661, 75928, 3367.800000000003, 71029.8, 3, 6
★ Butterfly Knife | Blue Steel (Battle-Scarred), 99085, 105631, 3904.2249999999913, 99990.22499999999, 8, 9
★ Butterfly Knife | Scorched (Minimal Wear), 75451, 80687, 3217.824999999997, 75669.825, 6, 8
★ Talon Knife | Slaughter (Minimal Wear), 65610, 70389, 3018.274999999994, 65629.275, 3, 14
★ Karambit | Ultraviolet (Field-Tested), 71530, 77085, 3626.875, 72157.875, 5, 11
★ Butterfly Knife | Urban Masked (Battle-Scarred), 63791, 70073, 4529.175000000003, 65321.175, 3, 8
★ Karambit | Crimson Web (Field-Tested), 85134, 90597, 3197.074999999997, 85332.075, 5, 8
★ Butterfly Knife | Crimson Web (Battle-Scarred), 78607, 85526, 4779.849999999991, 80387.84999999999, 2, 5
★ Butterfly Knife | Case Hardened (Battle-Scarred), 82900, 89770, 4624.75, 84525.75, 1, 14
★ Butterfly Knife | Bright Water (Minimal Wear), 92671, 98909, 3764.274999999994, 93436.275, 9, 6
