Item, Buff_Price
★ Nomad Knife | Scorched (Well-Worn), 148.19
★ M9 Bayonet | Blue Steel (Minimal Wear), 872.01
★ Specialist Gloves | Crimson Web (Minimal Wear), 624.19
★ StatTrak™ Talon Knife | Ultraviolet (Well-Worn), 373.23
★ Hand Wraps | Badlands (Battle-Scarred), 121.85
★ Karambit | Boreal Forest (Factory New), 1180.05
★ Bayonet | Tiger Tooth (Factory New), 473.39
★ M9 Bayonet | Urban Masked (Factory New), 0
★ StatTrak™ Classic Knife | Crimson Web (Factory New), 0
★ Specialist Gloves | Fade (Well-Worn), 274.36
★ Moto Gloves | Transport (Minimal Wear), 131.73
★ StatTrak™ Ursus Knife | Night Stripe (Factory New), 0
★ Karambit | Crimson Web (Well-Worn), 795.85
★ Nomad Knife | Forest DDPAT (Battle-Scarred), 138.18
★ Talon Knife | Crimson Web (Factory New), 2058.23
★ Driver Gloves | Black Tie (Minimal Wear), 545.71
★ Gut Knife | Black Laminate (Battle-Scarred), 115.49
★ StatTrak™ Classic Knife | Safari Mesh (Battle-Scarred), 150.8
★ Talon Knife | Boreal Forest (Well-Worn), 273.61
★ Butterfly Knife | Forest DDPAT (Well-Worn), 709.4
★ Nomad Knife | Boreal Forest (Well-Worn), 142.7
★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear), 471.34
★ Moto Gloves | Turtle (Well-Worn), 134.33
★ StatTrak™ M9 Bayonet | Night (Minimal Wear), 665.43
★ Bayonet | Stained (Factory New), 514.56
★ StatTrak™ Karambit | Boreal Forest (Minimal Wear), 631.19
★ Skeleton Knife | Night Stripe (Battle-Scarred), 246.99
★ StatTrak™ M9 Bayonet | Black Laminate (Well-Worn), 740.83
★ StatTrak™ Butterfly Knife | Damascus Steel (Minimal Wear), 1120.43
★ Moto Gloves | Cool Mint (Factory New), 2195.45
★ Skeleton Knife | Slaughter (Minimal Wear), 691.57
★ Ursus Knife | Slaughter (Factory New), 307.77
★ Flip Knife | Black Laminate (Minimal Wear), 222.27
★ StatTrak™ Nomad Knife | Crimson Web (Minimal Wear), 432.23
★ Sport Gloves | Slingshot (Battle-Scarred), 336.03
★ StatTrak™ Stiletto Knife | Boreal Forest (Well-Worn), 185.24
★ StatTrak™ M9 Bayonet | Rust Coat (Well-Worn), 644.91
★ StatTrak™ M9 Bayonet | Crimson Web (Field-Tested), 743.71
★ Kukri Knife | Stained (Battle-Scarred), 167.13
★ Butterfly Knife | Bright Water (Factory New), 1060.68
★ StatTrak™ Skeleton Knife | Crimson Web (Minimal Wear), 768.2
