Item_Name, Price
★ Hand Wraps | Leather (Factory New), 912.49
★ Hand Wraps | Leather (Minimal Wear), 346.32
★ Hand Wraps | Leather (Field-Tested), 192.17
★ Hand Wraps | Leather (Well-Worn), 168.25
★ Hand Wraps | Leather (Battle-Scarred), 160.50
★ M9 Bayonet | Doppler (Factory New), 1,341.56
★ M9 Bayonet | Doppler (Minimal Wear), 1,377.97
★ StatTrak™ M9 Bayonet | Doppler (Factory New), 1,294.59
★ StatTrak™ M9 Bayonet | Doppler (Minimal Wear), 1,327.81
USP-S | Printstream (Factory New), 121.28
USP-S | Printstream (Minimal Wear), 55.94
USP-S | Printstream (Field-Tested), 31.27
USP-S | Printstream (Well-Worn), 29.00
USP-S | Printstream (Battle-Scarred), 23.08
StatTrak™ USP-S | Printstream (Factory New), 249.87
StatTrak™ USP-S | Printstream (Minimal Wear), 117.72
StatTrak™ USP-S | Printstream (Field-Tested), 65.00
StatTrak™ USP-S | Printstream (Well-Worn), 64.30
StatTrak™ USP-S | Printstream (Battle-Scarred), 52.07
★ Skeleton Knife | Scorched (Factory New), 417.50
★ Skeleton Knife | Scorched (Minimal Wear), 262.10
★ Skeleton Knife | Scorched (Field-Tested), 230.60
★ Skeleton Knife | Scorched (Well-Worn), 227.56
★ Skeleton Knife | Scorched (Battle-Scarred), 205.33
★ StatTrak™ Skeleton Knife | Scorched (Factory New), 0
★ StatTrak™ Skeleton Knife | Scorched (Minimal Wear), 260.08
★ StatTrak™ Skeleton Knife | Scorched (Field-Tested), 232.57
★ StatTrak™ Skeleton Knife | Scorched (Well-Worn), 222.45
★ StatTrak™ Skeleton Knife | Scorched (Battle-Scarred), 216.28
AWP | Corticera (Factory New), 39.59
AWP | Corticera (Minimal Wear), 14.75
AWP | Corticera (Field-Tested), 14.37
StatTrak™ AWP | Corticera (Factory New), 85.25
StatTrak™ AWP | Corticera (Minimal Wear), 34.83
StatTrak™ AWP | Corticera (Field-Tested), 31.63
★ Huntsman Knife | Lore (Factory New), 250.68
★ Huntsman Knife | Lore (Minimal Wear), 213.21
★ Huntsman Knife | Lore (Field-Tested), 171.10
★ Huntsman Knife | Lore (Well-Worn), 166.98
★ Huntsman Knife | Lore (Battle-Scarred), 134.74
★ StatTrak™ Huntsman Knife | Lore (Factory New), 303.00
★ StatTrak™ Huntsman Knife | Lore (Minimal Wear), 232.70
★ StatTrak™ Huntsman Knife | Lore (Field-Tested), 177.95
★ StatTrak™ Huntsman Knife | Lore (Well-Worn), 220.00
★ StatTrak™ Huntsman Knife | Lore (Battle-Scarred), 165.00
★ Gut Knife | Case Hardened (Factory New), 361.99
★ Gut Knife | Case Hardened (Minimal Wear), 164.09
★ Gut Knife | Case Hardened (Field-Tested), 152.60
★ Gut Knife | Case Hardened (Well-Worn), 128.73
★ Gut Knife | Case Hardened (Battle-Scarred), 137.98
★ StatTrak™ Gut Knife | Case Hardened (Factory New), 1,930.00
★ StatTrak™ Gut Knife | Case Hardened (Minimal Wear), 217.37
★ StatTrak™ Gut Knife | Case Hardened (Field-Tested), 177.88
★ StatTrak™ Gut Knife | Case Hardened (Well-Worn), 174.95
★ StatTrak™ Gut Knife | Case Hardened (Battle-Scarred), 182.31
★ M9 Bayonet | Ultraviolet (Factory New), 1,218.30
★ M9 Bayonet | Ultraviolet (Minimal Wear), 747.00
★ M9 Bayonet | Ultraviolet (Field-Tested), 613.25
★ M9 Bayonet | Ultraviolet (Well-Worn), 552.61
★ M9 Bayonet | Ultraviolet (Battle-Scarred), 542.00
★ StatTrak™ M9 Bayonet | Ultraviolet (Factory New), 0
★ StatTrak™ M9 Bayonet | Ultraviolet (Minimal Wear), 764.92
★ StatTrak™ M9 Bayonet | Ultraviolet (Field-Tested), 559.73
★ StatTrak™ M9 Bayonet | Ultraviolet (Well-Worn), 683.73
★ StatTrak™ M9 Bayonet | Ultraviolet (Battle-Scarred), 533.86
★ Navaja Knife | Marble Fade (Factory New), 152.79
★ Navaja Knife | Marble Fade (Minimal Wear), 166.81
★ StatTrak™ Navaja Knife | Marble Fade (Factory New), 176.57
★ StatTrak™ Navaja Knife | Marble Fade (Minimal Wear), 321.28
MP9 | Sand Dashed (Factory New), 0.07
MP9 | Sand Dashed (Minimal Wear), 0.01
MP9 | Sand Dashed (Field-Tested), 0.01
MP9 | Sand Dashed (Well-Worn), 0.01
MP9 | Sand Dashed (Battle-Scarred), 0.01
MP9 | Sand Dashed (Souvenir Factory New), 10.95
MP9 | Sand Dashed (Souvenir Minimal Wear), 0.64
MP9 | Sand Dashed (Souvenir Field-Tested), 0.18
MP9 | Sand Dashed (Souvenir Well-Worn), 0.24
MP9 | Sand Dashed (Souvenir Battle-Scarred), 0.25
★ Specialist Gloves | Field Agent (Factory New), 1,249.49
★ Specialist Gloves | Field Agent (Minimal Wear), 560.02
★ Specialist Gloves | Field Agent (Field-Tested), 248.04
★ Specialist Gloves | Field Agent (Well-Worn), 191.46
★ Specialist Gloves | Field Agent (Battle-Scarred), 136.88
★ Ursus Knife | Marble Fade (Factory New), 327.37
★ Ursus Knife | Marble Fade (Minimal Wear), 342.21
★ StatTrak™ Ursus Knife | Marble Fade (Factory New), 334.00
★ StatTrak™ Ursus Knife | Marble Fade (Minimal Wear), 423.32
★ Moto Gloves | 3rd Commando Company (Factory New), 327.81
★ Moto Gloves | 3rd Commando Company (Minimal Wear), 127.17
★ Moto Gloves | 3rd Commando Company (Field-Tested), 103.48
★ Moto Gloves | 3rd Commando Company (Well-Worn), 93.24
