Item, Buff_Price
Souvenir M4A1-S | VariCamo (Minimal Wear), 20.36
Souvenir AK-47 | Steel Delta (Field-Tested), 4.02
M4A1-S | Hyper Beast (Battle-Scarred), 15.09
StatTrak™ AK-47 | Neon Revolution (Minimal Wear), 73.55
AWP | Corticera (Factory New), 43.02
AK-47 | Jet Set (Battle-Scarred), 288.15
M4A1-S | Guardian (Minimal Wear), 19.48
M4A1-S | Dark Water (Minimal Wear), 78.21
AK-47 | Orbit Mk01 (Well-Worn), 18.25
M4A1-S | Chantico's Fire (Minimal Wear), 66.81
AWP | Worm God (Well-Worn), 1.62
StatTrak™ AWP | Fever Dream (Well-Worn), 18.39
StatTrak™ AK-47 | Inheritance (Battle-Scarred), 106.26
Souvenir AK-47 | Black Laminate (Minimal Wear), 49.46
AK-47 | Safety Net (Minimal Wear), 3.63
StatTrak™ M4A1-S | Decimator (Battle-Scarred), 23.01
Souvenir M4A1-S | Control Panel (Well-Worn), 40.34
M4A1-S | Hyper Beast (Field-Tested), 18.93
AK-47 | Jungle Spray (Battle-Scarred), 4.48
AK-47 | Safety Net (Field-Tested), 2.84
AK-47 | Slate (Field-Tested), 3.57
AK-47 | Fire Serpent (Factory New), 2154.15
AK-47 | Jet Set (Well-Worn), 259.27
AWP | Phobos (Field-Tested), 1.3
StatTrak™ AK-47 | Case Hardened (Battle-Scarred), 299.82
AK-47 | Crossfade (Field-Tested), 1.88
StatTrak™ M4A1-S | Black Lotus (Minimal Wear), 30.46
M4A1-S | Vaporwave (Field-Tested), 120.13
AK-47 | Asiimov (Factory New), 177.01
AK-47 | X-Ray (Battle-Scarred), 321.21
StatTrak™ AK-47 | Fire Serpent (Well-Worn), 1481.38
AK-47 | First Class (Battle-Scarred), 73.46
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred), 57.48
AWP | Silk Tiger (Minimal Wear), 196.07
AK-47 | Predator (Factory New), 53.29
AWP | Desert Hydra (Factory New), 2242.03
StatTrak™ AWP | Graphite (Factory New), 348.53
StatTrak™ M4A1-S | Mecha Industries (Factory New), 154.37
AK-47 | Black Laminate (Field-Tested), 31.49
StatTrak™ M4A1-S | Player Two (Factory New), 191.76
StatTrak™ AK-47 | Bloodsport (Minimal Wear), 253.85
AWP | Wildfire (Minimal Wear), 83.91
StatTrak™ AK-47 | Point Disarray (Minimal Wear), 46.48
StatTrak™ M4A1-S | Cyrex (Minimal Wear), 91.51
M4A1-S | Leaded Glass (Field-Tested), 4.51
Souvenir AK-47 | Safety Net (Minimal Wear), 21.6
AWP | Duality (Minimal Wear), 5.24
Souvenir M4A1-S | Control Panel (Minimal Wear), 86.99
M4A1-S | Hyper Beast (Minimal Wear), 46.91
AK-47 | Predator (Field-Tested), 17.56
StatTrak™ AK-47 | Rat Rod (Minimal Wear), 15.44
M4A1-S | Basilisk (Field-Tested), 5.48
M4A1-S | Atomic Alloy (Field-Tested), 38.76
Souvenir AK-47 | Safari Mesh (Battle-Scarred), 9.59
StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred), 12.07
Souvenir M4A1-S | Imminent Danger (Battle-Scarred), 516.75
StatTrak™ AWP | Worm God (Field-Tested), 4.32
StatTrak™ AK-47 | Uncharted (Minimal Wear), 2.6
StatTrak™ AK-47 | Head Shot (Minimal Wear), 40.81
AK-47 | The Empress (Field-Tested), 32.52
Souvenir AWP | Desert Hydra (Field-Tested), 1474.79
StatTrak™ AK-47 | Jaguar (Minimal Wear), 201.36
Souvenir AWP | Dragon Lore (Minimal Wear), 205823.43
AWP | Duality (Well-Worn), 2.58
M4A1-S | Atomic Alloy (Factory New), 82.81
AK-47 | Panthera onca (Well-Worn), 175.43
AWP | Lightning Strike (Minimal Wear), 575.62
StatTrak™ AWP | Hyper Beast (Battle-Scarred), 56.94
StatTrak™ AWP | Oni Taiji (Battle-Scarred), 0
StatTrak™ M4A1-S | Printstream (Field-Tested), 272.65
AK-47 | The Empress (Minimal Wear), 56.12
M4A1-S | Master Piece (Factory New), 333.43
AK-47 | Fuel Injector (Factory New), 373.16
AK-47 | X-Ray (Minimal Wear), 990.7
StatTrak™ AWP | Electric Hive (Field-Tested), 62.77
AK-47 | Elite Build (Field-Tested), 1.37
AK-47 | Neon Revolution (Battle-Scarred), 19.07
